id,Titre en anglais,Titre en Japonais,Editeurs,Code JPN,Code USA,Sortie JPN,Sortie USA,Main Category,Sub Category
0974,Shiroi Ringu He - Twinkle Little Star,白いリングへ トゥインクル・リトル・スター,ポニーキャニオン / アトリエドゥーブル / Pony Canyon / Atelier Double,SHVC-ALOJ-JPN-(PCPE-00502),,1995-10-27,,Sports,Wrestling
0975,Shodai Nekketsu Kouha Kunio-kun,初代 熱血硬派くにおくん,テクノスジャパン / Technos Japan,SHVC-KN,,1992-08-07,,Beat 'em All,
0976,Shodan Morita Shougi,初段 森田将棋,セタ / ランダムハウス / Seta / Random House,SHVC-MS,,1991-08-23,,Table Game,Shougi
0977,Shodankurai Nintei: Shodan Pro Mahjong,初段位認定 初段プロ麻雀,ギャップス / GAPS,SHVC-A28J-JPN,,1995-04-28,,Table Game,Mahjong
0978,Shonen Ninja Sasuke,少年忍者サスケ,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-EO,,1994-10-28,,Beat 'em All,
0979,Shougi Club,本格派対局将棋 将棋倶楽部,ヘクト / 夏システム / Hector / Natsu-System,SHVC-AHEJ-JPN,,1995-02-24,,Table Game,Shougi
0980,Shougi Fuurin Kazan,将棋 風林火山,ポニーキャニオン / Pony Canyon,SHVC-FJ-(R88V5947),,1993-10-29,,Table Game,Shougi
0981,Shougi Saikyou,将棋最強,魔法株式会社 / Magical Company,SHVC-AMSJ-JPN,,1995-07-21,,Table Game,Shougi
0982,Shougi Saikyou 2 - Jissen Taikyoku Hen,将棋最強II 実戦対局編,魔法株式会社 / Magical Company,SHVC-AX2J-JPN,,1996-02-09,,Table Game,Shougi
0983,Shougi Sanmai,将棋三昧,ヴァージンインタラクティブ エンターテインメント / Virgin Interactive Entertainment,SHVC-AVEJ-JPN,,1995-12-22,,Table Game,Shougi
0984,Shounen Ashibe - Goma-chan no Yuuenchi Daibouken,少年アシベ ゴマちゃんのゆうえんち大冒険,タカラ / Takara,SHVC-AS,,1992-12-22,,Platformer,
0985,Shounin yo Taishi wo Idake!!,商人よ、大志を抱け！！,バンダイ / プレックス / Bandai / Plex,SHVC-AYQJ-JPN,,1995-12-15,,Table Game,
0986,Shuushoku Game - Trendy Drama,リクルートシミュレーション 就職ゲーム TRENDY DRAMA,イマジニアズーム / レナール / Imagineer-Zoom / Lenar,SHVC-AIMJ-JPN,,1995-07-28,,RPG,Adventure
0987,Side Pocket,サイドポケット,データイースト / Data East / Iguana Entertainment,SHVC-4P,SNS-4P,1994-03-18,1993-12-01,Sports,Billard
0988,Silva Saga II - The Legend of Light & Darkness,シルヴァ・サーガII,セタ / Seta,SHVC-S8,,1993-06-25,,RPG,
0989,Sim Ant,シムアント,イマジニアズーム / トムキャットシステム / マクシス / Imagineer-Zoom / Tomcat System / Maxis,SHVC-AN,SNS-AN,1993-02-26,1993-10-01,Strategy,
0990,Sim City,シムシティー,任天堂 / インテリジェントシステムズ / マクシス / Nintendo / Intelligent Systems / Maxis,SHVC-SC,SNS-SC,1991-04-26,1991-08-01,Strategy,Management
0991,Sim City 2000,シムシティ2000,イマジニアズーム / ハル研究所 / マクシス / Imagineer-Zoom / HAL Laboratory / Maxis,SHVC-AWWJ-JPN,SNS-AWWE-USA,1995-05-26,1996-11-01,Strategy,Management
0992,Sim City Jr.,シムシティーJr.,イマジニアズーム / マクシス / Imagineer-Zoom / Maxis,SHVC-ALIJ-JPN,,1996-07-26,,Strategy,Management
0993,Sim Earth - The Living Planet,シムアース,イマジニアズーム / トムキャットシステム / マクシス / Imagineer-Zoom / Tomcat System / Maxis,SHVC-SE,SNS-SE,1991-12-29,1993-02-01,Strategy,Management
0994,Simulation Pro Yakyuu,シミュレーション プロ野球,ヘクト / Hector,SHVC-AHAJ-JPN,,1995-04-28,,Sports,Baseball
0995,Ski Paradise with Snowboard,スキーパラダイス WITH スノーボード,パック・イン・ビデオ / エレクトロブレイン / Pack-in-Video / Loriciel / Electro Brain,SHVC-XS,,1994-12-16,,Sports,Ski
0996,Sky Mission,スカイミッション,ナムコ / ナムコット / Namco / Namcot,SHVC-SI,,1992-09-29,,SHMUP,Behind
0997,Slap Stick,スラップスティック,エニックス / クインテット / エインシェント / Enix / Quintet / Ancient,SHVC-E9,SNS-E9,1994-07-08,,RPG,
0998,Slayers,スレイヤーズ,バンプレスト / Banpresto,SHVC-UZ,,1994-06-24,,RPG,
0999,SM Choukyoushi Hitomi - Bangai Hen,SM調教師 瞳 番外編,Seibu Kikaku Corp. / EJ Corporation,PIRATE-SMHBH,,1994-01-01,,XXX,Puzzle
1000,SM Choukyoushi Hitomi - Bangai Hen 2 - Maki no Love Love Panic,SM調教師 瞳 番外編　まきのラブラブパニツリ,Seibu Kikaku Corp. / EJ Corporation,,,,,XXX,Puzzle
1001,SM Choukyoushi Hitomi Volume 1,SM調教師『瞳』 Vol.1,Seibu Kikaku Corp. / EJ Corporation,PIRATE-SMH1,,,,XXX,Puzzle
1002,SM Choukyoushi Hitomi Volume 2,SM調教師『瞳』 Vol. 2,Seibu Kikaku Corp. / EJ Corporation,PIRATE-SMH2,,1994-01-01,,XXX,Puzzle
1003,SM Choukyoushi Hitomi Volume 2 - Remix,SM調教師『瞳』 Vol. 2 REMIX,Seibu Kikaku Corp. / EJ Corporation,PIRATE-SMH2R,,1994-01-01,,XXX,Puzzle
1004,SM Choukyoushi Hitomi Volume 3,SM調教師『瞳』 Vol. 3,Seibu Kikaku Corp. / EJ Corporation,PIRATE-SMH3,,,,XXX,Puzzle
1005,Smash T.V.,スマッシュT.V.,アスキー / アクレイム / ASCII / Beam Software / Acclaim Japan,SHVC-TV,,1992-03-27,,Shooter,360
1006,Snoopy Concert,スヌーピーコンサート,三井不動産 / 電通 / Mitsui Fudosan / Dentsu / United Feature Syndicate,SHVC-A3PJ-JPN,,1995-05-19,,Platformer,
1007,Soccer Kid,サッカーキッド,やのまん / Yanoman / Krisalis Software Limited,SHVC-YK,,1993-12-28,,Platformer,
1008,Solid Runner,ソリッドランナー,アスキー / ASCII,SHVC-AAAJ-JPN,,1997-03-28,,RPG,
1009,Solstice 2,ソルスティスII,エピック・ソニーレコード（ソニー・ミュージックエンタテインメント） / Epic Sony Records,SHVC-EX-(ESPG48),,1993-11-12,,Table Game,
1010,Song Master,ソングマスター,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-YM,,1992-11-27,,RPG,
1011,Sonic Blast Man,ソニックブラストマン,タイトー / ディスコ / Taito / Disco,SHVC-SK,SNS-SK,1992-09-25,1993-02-01,Beat 'em All,
1012,Sonic Blast Man 2,ソニックブラストマンII,タイトー / Taito,SHVC-2C,,1994-03-18,,Beat 'em All,
1013,Sonic Wings,ソニックウイングス,ビデオシステム / Video System,SHVC-HW,SNS-AERE,1993-07-30,1994-11-01,SHMUP,Vertical
1014,Soreyuke Ebisumaru Karakuri Meiro - Kieta Goemon no Nazo!!,それ行け エビス丸からくり迷路 消えたゴエモンの謎！！,コナミ / Konami,SHVC-AK7J-JPN,,1996-03-29,,Puzzle,
1015,Sotsugyou Bangai Hen - Nee Mahjong Shiyo!,卒業番外篇 ねぇ麻雀しよ！,ケイエスエス / ヘッドルーム / KSS / Head Room,SHVC-A2KJ-JPN,,1994-10-28,,Table Game,Mahjong
1016,Sougou Kakutougi Astral Bout,アストラル バウト 総合格闘技,キングレコード / King Records / A WAVE,SHVC-AB-(KIS-1),,1992-06-26,,Sports,Wrestling
1017,Sougou Kakutougi Astral Bout 2 - The Total Fighters,アストラルバウト2 総合格闘技,キングレコード / King Records / A WAVE,SHVC-EJ-(KIS-3),,1994-02-25,,Sports,Wrestling
1018,Sougou Kakutougi Rings - Astral Bout 3,総合格闘技 リングス アストラルバウト3,キングレコード / King Records / A WAVE,SHVC-AABJ-JPN-(KIS-5),,1995-10-20,,Sports,Wrestling
1019,Soukou Kihei Votoms - The Battling Road,装甲騎兵ボトムズ ザ・バトリングロード,タカラ/元気 / Takara / Genki,SHVC-VO,,1993-10-29,,SHMUP,Behind
