Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
Aqutallion,アクタリオン,テクモ / テクモソフトプロダクツ / Tecmo / Tecmo Soft Products,SHVC-AQ / SNS-AQ,1993-11-05 / 1995-07-01,RPG,
Arabian Nights - Sabaku no Seirei Ou,アラビアンナイト 〜砂漠の精霊王〜,タカラ / パンドラボックス / Takara / Pandora Box,SHVC-AAJJ-JPN,1996-06-14,RPG,
Araiguma Rascal (Raccoon Rascal),あらいぐまラスカル,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-R9,1994-03-25,Puzzle,Matching
Arcus Spirits,アークス・スピリッツ,サミー / ウルフチーム（日本テレネット） / Sammy / Wolfteam (Telenet Japan),SHVC-A4,1993-10-22,RPG,Action
Ardy Lightfoot,アルディライトフット,アスキー / ASCII,SHVC-A9 / SNS-A9,1993-11-26 / 1996-02-01,Platformer,
Area 88,エリア88,カプコン / Capcom,SHVC-E8 / SNS-E8,1991-07-26 / 1991-09-01,SHMUP,Horizontal
Aretha,アレサ,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-YJ,1993-11-26,RPG,
Aretha 2 - Ariel no Fushigi na Bouken,アレサII アリエルの不思議な旅,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-AREJ-JPN,1994-12-02,RPG,
Arkanoid - Doh It Again,アルカノイド,タイトー / Taito,SHVC-A6 / SNS-A6,1997-01-15 / 1997-11-01,Arcade,Retro
Asahi Shinbun Rensai - Katou Ichi-Ni-San Shougi - Shingiryuu,朝日新聞連載 加藤一二三九段将棋 心技流,バリエ / Varie,SHVC-A23J-JPN,1995-09-22,Table Game,Shougi
Asameshimae Nyanko,あさめしまえにゃんこ,"バンプレスト, ザムス / Banpresto, Zamuse / J-Force",SHVC-ZC,1994-03-18,Puzzle,
Ashita no Joe,あしたのジョー,ケイ・アミューズメントリース / K. Amusement Leasing,SHVC-AJ,1992-11-27,Sports,Boxing
Assault Suits Valken,重装機兵ヴァルケン,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-AV,1992-12-18,Platformer,
Axelay,アクスレイ,コナミ / コナミ エンタテイメント / Konami / Konami Entertainment,SHVC-AX / SNS-AX,1992-09-11 / 1992-09-01,SHMUP,Vertical
Bahamut Lagoon,バハムート ラグーン,スクウェア / Square,SHVC-AXBJ-JPN,1996-02-09,RPG,
Bakukyu Rennpatsu!! Super B-Daman,爆球連発！！スーパービーダマン,ハドソン / Hudson,SHVC-AAIJ-JPN,1997-12-19,Puzzle,
Bakumatsu Kourinden Oni,幕末降臨伝ONI,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-A20J-JPN,1996-02-02,RPG,
Bakutou Dodgers - Bumps-Shima wa Oosawagi,爆投ドッチャーズ バンプス島は大さわぎ,ビー・ピー・エス / 元気 / Bullet-Proof Software / Genki,SHVC-ABDJ-JPN,1994-10-28,Puzzle,Bomberman
Ball Bullet Gun - Survival Game Simulation,ボール・ブレット・ガン サバイバルゲーム,アイマックス / I'MAX,SHVC-AAGJ-JPN,1995-12-01,Strategy,
Barbarossa,バルバロッサ,サミー / システムソフト / Sammy / SystemSoft,SHVC-BK,1992-11-27,Strategy,
Barkley's Power Dunk,バークレーのパワーダンク,デンズ（アイ・ティー・シー） / DEN'Z(ITC),SHVC-I7,1994-09-30,Sports,Basketball
Bass Masters Classic,バスマスターズ クラシック,アルトロン / Altron,SHVC-ABAJ-JPN / SNS-ABAE-USA,1995-07-28 / 1995-06-01,Sports,Pêche
Bastard!! - Ankoku no Hakaishin,バスタード！！ —暗黒の破壊神—,コブラチーム / バンダイ / Cobra Team / Bandai,SHVC-VC,1994-01-28,Fighting,Versus
Batman Forever,バットマン フォーエヴァー,アクレイムジャパン / Acclaim Japan / Probe Entertainment,SHVC-A3BJ-JPN,1995-10-27,Beat 'em All,
Batman Returns,バットマン リターンズ,コナミ / コナミ エンタテイメント / Konami / Konami Entertainment,SHVC-BJ / SNS-BJ-USA,1993-02-26 / 1993-04-01,Beat 'em All,
Battle Blaze,バトルブレイズ,サミー / Sammy,SHVC-BZ / SNS-BZ,1992-05-01 / 1993-12-01,Fighting,Versus
Battle Commander - Hachibushu Shura no Heihou,バトルコマンダー 八武衆、修羅の兵法,バンプレスト / Banpresto,SHVC-BC,1991-12-29,Strategy,
Battle Cross,バトルクロス,イマジニア / Imagineer,SHVC-ABCJ-JPN,1994-12-09,Racing,Fun
Battle Dodgeball 2 Gundam,バトルドッジボールII,バンプレスト / Banpresto,SHVC-D2,1993-07-23,Sports,Dodgeball
Battle Dodgeball Gundam,バトルドッジボール,バンプレスト / Banpresto,SHVC-BD,1991-07-20,Sports,Dodgeball
Battle Grand Prix,バトルグランプリ,ナグザット / Naxat Soft,SHVC-BG / SNS-BG,1992-03-27 / 1993-04-01,Racing,Formule 1
Battle Jockey,バトルジョッキー,ヴァージンゲーム / ナムコ / Virgin Games / Namco,SHVC-AV2J-JPN,1994-12-22,Sports,Horse
Battle Master - Kyuukyoku no Senshitachi,バトル・マスター 究極の戦士たち,東芝EMI / Toshiba EMI / System Vision,SHVC-5B-(TOPN-2005),1993-11-19,Fighting,Versus
Battle Pinball,バトルピンボール,バンプレスト / Banpresto,SHVC-ABPJ-JPN,1995-02-24,Pinball,
Battle Racers,バトルレーサーズ,バンプレスト / Banpresto,SHVC-ACRJ-JPN,1995-03-17,Racing,Moto
Battle Robot Retsuden,バトルロボット烈伝,バンプレスト / ウィンキーソフト / Banpresto / winkysoft,SHVC-ABRJ-JPN,1995-09-01,Strategy,
Battle Soccer - Field no Hasha,バトルサッカー フィールドの覇者,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-B8,1992-12-11,Sports,Soccer
Battle Soccer 2,バトルサッカー2,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-ABSJ-JPN,1994-11-25,Sports,Soccer
Battle Submarine,バトルサブマリン,パック・イン・ビデオ / Pack-in-Video,SHVC-A5LJ-JPN,1995-12-22,Strategy,
Battle Tycoon - Flash Hiders SFX,バトルタイクーン,ライトスタッフ / Right Stuff,SHVC-AFHJ-JPN,1995-05-19,Fighting,Versus
Battle Zeque Den,バトル ゼクウ 伝,アスミック / Asmik,SHVC-ZQ,1994-07-15,Beat 'em All,
BattleTech,バトルテック,ビクター音楽産業 / Victor Musical Industries / Beam Software,SHVC-WM,1993-02-26,Simulation,Robot
BattleTech 3050,バトルテック3050,アスク講談社 / アクティビジョン / Ask Kodansha / Tiburon Entertainment / Activision,SHVC-A35J-JPN / SNS-A35E-USA,1996-02-23,Shooter,360
Battletoads In Battlemaniacs,バトルトード イン バトルマニアック,メサイヤ（日本コンピューターシステム） / レア / Masiya (NCS) / Rare Ltd.,SHVC-NX / SNS-NX,1994-01-07 / 1993-06-01,Beat 'em All,
Beauty and The Beast,美女と野獣,ハドソン / Hudson / Virgin,SHVC-EW / SNS-EW,1994-07-08 / 1994-01-01,Platformer,
